City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,lavrentiya,65.5833,-171.0,-20.09,93,36,0.99,RU,1680727150
84,the valley,18.217,-63.0578,26.01,83,40,8.23,AI,1680727151
85,moose factory,51.2585,-80.6094,-6.0,73,100,9.26,CA,1680727152
86,kruisfontein,-34.0033,24.7314,17.16,70,1,2.16,ZA,1680727152
87,tommot,58.9564,126.2925,-19.58,98,96,2.15,RU,1680727153
88,kodiak,57.79,-152.4072,3.73,81,100,3.09,US,1680727035
89,lebu,-37.6167,-73.65,15.6,83,95,4.23,CL,1680727155
90,qesarya,32.5189,34.9046,16.65,78,1,2.68,IL,1680727156
91,akhalgori,42.126,44.4833,10.12,91,100,1.19,GE,1680727156
92,leningradskiy,69.3833,178.4167,-24.18,90,45,3.53,RU,1680727157
93,sao joao da barra,-21.6403,-41.0511,27.05,82,37,3.96,BR,1680727158
94,spas-klepiki,55.1347,40.1767,7.53,83,100,4.14,RU,1680727159
95,mayo,38.8876,-76.5119,31.19,64,0,8.23,US,1680727160
96,tura,25.5198,90.2201,20.19,85,0,2.16,IN,1680727161
97,narsaq,60.9167,-46.05,1.12,94,100,1.11,GL,1680727162
98,aberystwyth,52.4155,-4.0829,11.05,98,100,3.53,GB,1680727002
99,vicuna,-30.0319,-70.7081,28.21,37,18,3.4,CL,1680727165
100,raudeberg,61.9875,5.1352,6.04,61,100,8.57,NO,1680727166
101,dali,25.7,100.1833,9.47,82,1,2.01,CN,1680727167
102,taoudenni,22.6783,-3.9836,26.8,15,0,5.69,ML,1680727167
103,cochrane,51.1834,-114.4687,5.15,27,0,4.12,CA,1680727023
104,southbridge,42.0751,-72.0334,8.68,86,100,1.34,US,1680727169
105,tubuala,9.5167,-79.0333,26.39,82,91,6.66,PA,1680727169
106,bredasdorp,-34.5322,20.0403,17.63,84,0,0.62,ZA,1680727170
107,hofn,64.2539,-15.2082,5.79,87,3,3.44,IS,1680727171
108,aksarka,66.5606,67.7975,-18.93,89,100,10.75,RU,1680727172
109,pisco,-13.7,-76.2167,30.03,54,0,3.6,PE,1680727172
110,iqaluit,63.7506,-68.5145,-14.15,72,75,7.72,CA,1680727173
111,buckeye,33.3703,-112.5838,21.01,9,0,2.06,US,1680727174
112,cambridge,43.3601,-80.3127,9.21,93,100,4.12,CA,1680727175
113,nieuwpoort,51.1244,2.7735,8.89,73,100,1.54,BE,1680727175
114,hasaki,35.7333,140.8333,14.56,68,100,10.29,JP,1680727176
115,arraial do cabo,-22.9661,-42.0278,26.98,74,20,5.14,BR,1680727176
116,revelstoke,50.9832,-118.2023,5.01,52,100,1.54,CA,1680727177
117,ust-karsk,52.7011,118.8077,-4.19,88,100,2.13,RU,1680727177
118,tuatapere,-46.1333,167.6833,7.29,88,100,5.79,NZ,1680727178
119,cidreira,-30.1811,-50.2056,22.15,63,100,5.67,BR,1680727178
120,tasiilaq,65.6145,-37.6368,-3.91,92,100,5.68,GL,1680727178
121,kavieng,-2.5744,150.7967,27.78,74,99,1.83,PG,1680727179
122,ayan,56.45,138.1667,-9.74,75,14,3.84,RU,1680727180
123,ballina,-28.8667,153.5667,17.1,85,91,4.48,AU,1680727180
124,ust-barguzin,53.45,108.9833,-13.5,89,22,0.41,RU,1680727181
125,vaini,-21.2,-175.2,27.09,74,40,5.14,TO,1680727181
126,mocuba,-16.8392,36.9856,20.27,95,98,1.4,MZ,1680727182
127,karratha,-20.7377,116.8463,27.79,67,93,3.6,AU,1680727182
128,mazagao,-0.115,-51.2894,28.03,94,95,2.12,BR,1680727183
129,palmerston,-12.486,130.9833,25.99,94,99,2.06,AU,1680727183
130,les cayes,18.2,-73.75,27.58,65,39,4.28,HT,1680727184
131,mahon,39.8885,4.2658,11.31,71,20,1.54,ES,1680727184
132,coquimbo,-29.9533,-71.3436,19.85,68,20,4.12,CL,1680727186
133,blagoyevo,63.3667,47.9167,-4.68,92,100,3.75,RU,1680727186
134,iracoubo,5.4802,-53.2011,26.35,70,83,4.0,GF,1680727187
135,puerto del rosario,28.5004,-13.8627,18.86,63,20,9.77,ES,1680727187
136,rio grande,-32.035,-52.0986,25.06,62,90,5.87,BR,1680726912
137,ucluelet,48.9329,-125.5528,6.17,84,100,2.24,CA,1680727188
138,venado tuerto,-33.7456,-61.9688,22.25,70,61,4.51,AR,1680727019
139,samarai,-10.6167,150.6667,28.11,78,100,3.32,PG,1680727189
140,broken hill,-31.95,141.4333,22.15,27,97,3.48,AU,1680727190
141,nykoping,58.753,17.0079,2.11,93,75,4.63,SE,1680727190
142,kropotkin,45.4375,40.5756,11.53,82,100,1.26,RU,1680727191
143,fernley,39.608,-119.2518,9.82,28,16,0.76,US,1680727191
144,zhenlai,45.8495,123.2973,3.61,24,74,2.19,CN,1680727191
145,krasnoselkup,65.7,82.4667,-6.01,97,100,3.28,RU,1680726916
146,padang,-0.9492,100.3543,24.8,87,100,1.69,ID,1680727192
147,manakara,-22.1333,48.0167,23.21,92,100,1.48,MG,1680727193
148,koppang,61.5706,11.0555,0.91,84,89,2.06,NO,1680727194
149,saint-paul,-21.0096,55.2707,25.06,93,55,0.89,RE,1680727194
150,salvador,13.8333,-88.9167,31.14,28,0,4.19,SV,1680727195
151,karema,-6.8205,30.4389,21.94,88,100,1.22,TZ,1680727195
152,gimli,50.6336,-96.9907,-5.99,86,100,10.29,CA,1680727150
153,atikokan,48.7555,-91.6216,-0.59,97,100,3.08,CA,1680727196
154,kupang,-10.1667,123.5833,24.77,87,100,1.19,ID,1680727196
155,hope,33.6671,-93.5916,17.21,63,100,2.84,US,1680727197
156,la ronge,55.1001,-105.2842,0.14,27,20,4.12,CA,1680727197
157,victoria point,-27.5833,153.3,19.69,88,22,2.86,AU,1680727198
158,thompson,55.7435,-97.8558,0.09,32,75,5.66,CA,1680727198
159,sawakin,19.1059,37.3321,24.26,51,6,3.52,SD,1680727198
160,sheridan,44.8333,-106.9173,-1.79,61,0,2.06,US,1680727143
161,vardo,70.3705,31.1107,2.99,81,100,5.66,NO,1680727199
162,ixtapa,20.7,-105.2,25.57,57,40,5.66,MX,1680727200
163,fortuna,40.5982,-124.1573,13.84,58,98,1.79,US,1680727200
164,hambantota,6.1241,81.1185,25.82,82,33,1.01,LK,1680727201
165,progreso,21.2833,-89.6667,37.28,48,68,7.1,MX,1680727202
166,hovd,48.0056,91.6419,-3.75,45,0,1.66,MN,1680727203
167,doha,25.2867,51.5333,20.94,73,0,1.03,QA,1680727205
168,bambanglipuro,-7.95,110.2833,23.42,94,55,1.13,ID,1680727206
169,castro,-24.7911,-50.0119,18.17,84,96,1.68,BR,1680727208
170,lundazi,-12.2929,33.1782,17.88,93,97,4.29,ZM,1680727209
171,alofi,-19.0595,-169.9187,26.94,83,20,3.09,NU,1680727211
172,sudak,44.85,34.9667,9.6,92,100,2.01,UA,1680727212
173,taltal,-25.4,-70.4833,19.08,87,61,4.05,CL,1680726621
174,boca do acre,-8.7522,-67.3978,23.03,98,100,1.29,BR,1680727213
175,georgetown,5.4112,100.3354,24.96,93,20,1.54,MY,1680726990
176,te anau,-45.4167,167.7167,6.94,85,97,2.21,NZ,1680727214
177,tatarsk,55.219,75.9828,2.13,67,59,4.08,RU,1680727215
178,morant bay,17.8815,-76.4093,30.39,59,21,2.91,JM,1680727215
179,rocha,-34.4833,-54.3333,19.41,64,66,4.83,UY,1680727216
180,pochutla,15.7432,-96.4661,33.79,46,1,5.19,MX,1680727217
181,karlshamn,56.1706,14.8619,0.27,98,100,0.6,SE,1680727218
